optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use namespace using-directives.  Use using-declarations instead.  [build/namespaces] [5]
optce-sefm2017/src/Runalgorithm.cpp:20:  Do not use using  [readability/namespace] [4]
optce-sefm2017/src/Runalgorithm.cpp:302:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:306:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:307:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:312:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:314:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:318:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:318:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:328:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:330:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:331:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:331:  Remove space before ( in for (  [whitespace/parens] [5]
optce-sefm2017/src/Runalgorithm.cpp:333:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:334:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:335:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:340:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:341:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:342:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:343:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:344:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:347:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:348:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:349:  Else should be on a new line after closing brace  [readability/braces] [5]
optce-sefm2017/src/Runalgorithm.cpp:351:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:352:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:354:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:356:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:358:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:361:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:363:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:365:  Line ends in whitespace.  Consider deleting these extra spaces.  [whitespace/end_of_line] [4]
optce-sefm2017/src/Runalgorithm.cpp:365:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:372:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:376:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:379:  Extra space before last semicolon. If this should be an empty statement, use {} instead.  [whitespace/semicolon] [5]
optce-sefm2017/src/Runalgorithm.cpp:380:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
optce-sefm2017/src/Runalgorithm.cpp:381:  Redundant blank line at the end of a code block should be deleted.  [whitespace/blank_line] [3]
optce-sefm2017/src/Runalgorithm.cpp:394:  Redundant blank line at the start of a code block should be deleted.  [whitespace/blank_line] [2]
optce-sefm2017/src/Runalgorithm.cpp:415:  Missing space after ,  [whitespace/comma] [3]
optce-sefm2017/src/Runalgorithm.cpp:417:  Missing space after ,  [whitespace/comma] [3]
